# Shell_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.400e-07 3.810e-07 3.560e-07 1.211e-08
      13 3.800e-07 4.310e-07 3.978e-07 1.278e-08
      16 4.410e-07 5.810e-07 5.034e-07 4.072e-08
      20 5.110e-07 6.610e-07 5.498e-07 3.188e-08
      25 6.110e-07 7.510e-07 6.632e-07 3.168e-08
      32 7.510e-07 9.220e-07 8.135e-07 3.872e-08
      40 9.420e-07 1.062e-06 9.931e-07 3.226e-08
      50 1.182e-06 1.423e-06 1.273e-06 5.125e-08
      63 1.553e-06 1.733e-06 1.629e-06 4.304e-08
      79 1.994e-06 2.194e-06 2.078e-06 5.501e-08
     100 2.615e-06 2.906e-06 2.732e-06 6.965e-08
     126 3.436e-06 3.657e-06 3.546e-06 5.460e-08
     158 4.558e-06 5.160e-06 4.723e-06 1.064e-07
     200 6.012e-06 6.442e-06 6.189e-06 9.911e-08
     251 7.875e-06 8.916e-06 8.104e-06 2.022e-07
     316 1.038e-05 1.078e-05 1.056e-05 1.023e-07
     398 1.364e-05 1.422e-05 1.390e-05 1.253e-07
     501 1.796e-05 1.853e-05 1.823e-05 1.434e-07
     631 2.354e-05 2.432e-05 2.392e-05 1.857e-07
     794 3.084e-05 3.753e-05 3.188e-05 1.506e-06
    1000 4.029e-05 4.254e-05 4.086e-05 4.057e-07
    1259 5.308e-05 5.424e-05 5.364e-05 3.030e-07
    1585 6.979e-05 7.314e-05 7.052e-05 5.803e-07
    1995 9.097e-05 9.459e-05 9.185e-05 6.929e-07
    2512 1.184e-04 1.222e-04 1.194e-04 7.998e-07
    3162 1.537e-04 1.591e-04 1.553e-04 1.188e-06
    3981 2.016e-04 2.175e-04 2.045e-04 3.174e-06
    5012 2.627e-04 2.762e-04 2.656e-04 2.494e-06
    6310 3.408e-04 3.493e-04 3.441e-04 2.166e-06
    7943 4.431e-04 4.660e-04 4.486e-04 4.050e-06
   10000 5.752e-04 6.008e-04 5.816e-04 5.953e-06
#------- --------- --------- --------- ---------


