# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 1.222e-06 1.453e-06 1.339e-06 5.847e-08
      13 1.583e-06 1.934e-06 1.756e-06 9.192e-08
      16 6.810e-07 2.265e-06 8.782e-07 3.280e-07
      20 8.910e-07 1.153e-06 1.029e-06 7.251e-08
      25 1.353e-06 1.673e-06 1.505e-06 7.753e-08
      32 2.114e-06 2.535e-06 2.347e-06 1.063e-07
      40 3.036e-06 3.777e-06 3.414e-06 1.797e-07
      50 4.678e-06 5.531e-06 5.087e-06 2.255e-07
      63 6.963e-06 8.286e-06 7.682e-06 3.672e-07
      79 1.088e-05 1.234e-05 1.175e-05 4.017e-07
     100 1.729e-05 1.992e-05 1.853e-05 6.459e-07
     126 2.645e-05 2.995e-05 2.802e-05 8.865e-07
     158 3.933e-05 4.430e-05 4.186e-05 1.341e-06
     200 6.150e-05 6.855e-05 6.514e-05 1.917e-06
     251 9.526e-05 1.052e-04 9.977e-05 2.244e-06
     316 1.476e-04 1.603e-04 1.537e-04 3.416e-06
     398 2.277e-04 2.459e-04 2.360e-04 4.548e-06
     501 3.579e-04 3.868e-04 3.702e-04 7.077e-06
     631 5.572e-04 5.944e-04 5.736e-04 9.378e-06
     794 8.756e-04 9.157e-04 8.946e-04 1.081e-05
    1000 1.365e-03 1.435e-03 1.401e-03 1.696e-05
    1259 2.143e-03 2.241e-03 2.194e-03 2.478e-05
    1585 3.394e-03 3.518e-03 3.450e-03 3.200e-05
    1995 5.309e-03 5.516e-03 5.404e-03 4.855e-05
    2512 8.398e-03 8.630e-03 8.509e-03 5.901e-05
    3162 1.325e-02 1.367e-02 1.349e-02 1.074e-04
    3981 2.124e-02 2.184e-02 2.156e-02 1.447e-04
    5012 3.401e-02 3.477e-02 3.439e-02 1.993e-04
    6310 5.461e-02 5.573e-02 5.526e-02 2.827e-04
    7943 8.805e-02 8.950e-02 8.881e-02 3.530e-04
   10000 1.445e-01 1.465e-01 1.454e-01 5.118e-04
#------- --------- --------- --------- ---------


