# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.400e-07 3.910e-07 3.599e-07 1.279e-08
      13 3.900e-07 4.410e-07 4.164e-07 1.508e-08
      16 4.510e-07 5.110e-07 4.830e-07 1.480e-08
      20 5.310e-07 6.110e-07 5.670e-07 1.877e-08
      25 6.510e-07 7.810e-07 6.937e-07 2.976e-08
      32 8.210e-07 9.410e-07 8.745e-07 2.932e-08
      40 1.192e-06 1.363e-06 1.275e-06 4.852e-08
      50 1.353e-06 1.784e-06 1.576e-06 1.118e-07
      63 1.673e-06 1.894e-06 1.756e-06 4.969e-08
      79 2.144e-06 2.324e-06 2.221e-06 4.492e-08
     100 2.825e-06 3.136e-06 2.924e-06 5.987e-08
     126 3.717e-06 3.967e-06 3.825e-06 6.165e-08
     158 4.839e-06 5.129e-06 4.964e-06 7.181e-08
     200 6.402e-06 6.742e-06 6.546e-06 8.057e-08
     251 8.375e-06 8.686e-06 8.534e-06 7.504e-08
     316 1.088e-05 1.126e-05 1.105e-05 9.737e-08
     398 1.424e-05 1.470e-05 1.446e-05 1.243e-07
     501 1.866e-05 1.924e-05 1.892e-05 1.405e-07
     631 2.434e-05 2.488e-05 2.458e-05 1.407e-07
     794 3.171e-05 3.239e-05 3.207e-05 1.680e-07
    1000 4.137e-05 4.216e-05 4.171e-05 1.941e-07
    1259 5.358e-05 5.454e-05 5.399e-05 2.436e-07
    1585 6.941e-05 7.098e-05 7.001e-05 3.186e-07
    1995 9.033e-05 9.347e-05 9.104e-05 5.716e-07
    2512 1.165e-04 1.194e-04 1.173e-04 5.336e-07
    3162 1.509e-04 1.554e-04 1.519e-04 9.983e-07
    3981 1.953e-04 1.995e-04 1.964e-04 8.068e-07
    5012 2.524e-04 2.572e-04 2.538e-04 1.149e-06
    6310 3.257e-04 3.314e-04 3.274e-04 1.322e-06
    7943 4.213e-04 4.381e-04 4.246e-04 3.101e-06
   10000 5.439e-04 5.606e-04 5.470e-04 3.210e-06
#------- --------- --------- --------- ---------


