# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.010e-07 4.200e-07 3.583e-07 3.348e-08
      13 3.300e-07 3.510e-07 3.392e-07 7.293e-09
      16 3.510e-07 4.310e-07 3.916e-07 2.508e-08
      20 3.810e-07 5.010e-07 4.095e-07 2.116e-08
      25 4.410e-07 5.410e-07 4.708e-07 2.638e-08
      32 5.210e-07 6.610e-07 5.512e-07 2.442e-08
      40 6.110e-07 8.020e-07 7.080e-07 5.341e-08
      50 7.610e-07 9.620e-07 8.372e-07 5.496e-08
      63 9.610e-07 1.192e-06 1.047e-06 5.984e-08
      79 1.262e-06 1.553e-06 1.390e-06 5.993e-08
     100 1.763e-06 2.164e-06 1.930e-06 1.101e-07
     126 2.414e-06 2.965e-06 2.612e-06 1.509e-07
     158 3.386e-06 4.058e-06 3.637e-06 1.448e-07
     200 5.109e-06 6.332e-06 5.649e-06 3.579e-07
     251 7.665e-06 9.448e-06 8.541e-06 5.730e-07
     316 1.140e-05 1.422e-05 1.277e-05 8.429e-07
     398 1.750e-05 2.123e-05 1.938e-05 1.244e-06
     501 2.707e-05 3.315e-05 2.949e-05 2.090e-06
     631 4.142e-05 5.115e-05 4.509e-05 3.254e-06
     794 6.491e-05 7.921e-05 7.002e-05 4.849e-06
    1000 1.014e-04 1.240e-04 1.107e-04 8.165e-06
    1259 1.579e-04 1.933e-04 1.733e-04 1.332e-05
    1585 2.501e-04 3.077e-04 2.784e-04 2.120e-05
    1995 3.941e-04 4.792e-04 4.435e-04 3.135e-05
    2512 6.168e-04 7.491e-04 6.871e-04 5.214e-05
    3162 9.738e-04 1.172e-03 1.047e-03 7.338e-05
    3981 1.536e-03 1.849e-03 1.605e-03 8.199e-05
    5012 2.431e-03 2.856e-03 2.541e-03 1.138e-04
    6310 3.845e-03 4.255e-03 3.963e-03 9.284e-05
    7943 6.061e-03 6.522e-03 6.210e-03 1.327e-04
   10000 9.637e-03 1.013e-02 9.794e-03 1.240e-04
#------- --------- --------- --------- ---------


