# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.000e-07 3.310e-07 3.125e-07 8.964e-09
      13 3.300e-07 3.510e-07 3.375e-07 6.861e-09
      16 3.500e-07 3.810e-07 3.640e-07 8.325e-09
      20 3.900e-07 4.200e-07 4.008e-07 7.318e-09
      25 4.400e-07 4.710e-07 4.541e-07 9.881e-09
      32 5.210e-07 6.420e-07 5.600e-07 3.329e-08
      40 7.410e-07 1.062e-06 9.572e-07 8.532e-08
      50 8.410e-07 1.032e-06 8.857e-07 4.005e-08
      63 1.022e-06 1.112e-06 1.067e-06 2.405e-08
      79 1.382e-06 2.023e-06 1.654e-06 2.308e-07
     100 1.813e-06 2.314e-06 1.903e-06 9.810e-08
     126 2.294e-06 3.326e-06 2.602e-06 3.438e-07
     158 3.175e-06 4.408e-06 3.434e-06 3.381e-07
     200 4.178e-06 5.751e-06 4.486e-06 4.293e-07
     251 5.300e-06 7.324e-06 5.623e-06 4.911e-07
     316 7.274e-06 1.007e-05 7.876e-06 7.830e-07
     398 9.708e-06 1.340e-05 1.062e-05 1.106e-06
     501 1.246e-05 1.720e-05 1.344e-05 1.307e-06
     631 1.675e-05 1.977e-05 1.738e-05 7.173e-07
     794 2.236e-05 2.568e-05 2.307e-05 8.848e-07
    1000 2.811e-05 3.520e-05 2.989e-05 2.140e-06
    1259 3.718e-05 4.538e-05 3.922e-05 2.208e-06
    1585 4.969e-05 6.004e-05 5.272e-05 3.062e-06
    1995 6.329e-05 6.530e-05 6.425e-05 5.837e-07
    2512 8.284e-05 8.661e-05 8.437e-05 9.480e-07
    3162 1.098e-04 1.170e-04 1.116e-04 1.447e-06
    3981 1.406e-04 1.481e-04 1.437e-04 2.183e-06
    5012 1.828e-04 2.263e-04 1.891e-04 9.182e-06
    6310 2.476e-04 2.737e-04 2.532e-04 6.572e-06
    7943 3.114e-04 3.320e-04 3.170e-04 3.725e-06
   10000 3.985e-04 4.234e-04 4.084e-04 4.838e-06
#------- --------- --------- --------- ---------


