# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.000e-07 3.310e-07 3.147e-07 8.094e-09
      13 3.300e-07 3.510e-07 3.376e-07 7.166e-09
      16 3.500e-07 3.810e-07 3.636e-07 8.111e-09
      20 4.300e-07 4.900e-07 4.523e-07 1.441e-08
      25 4.910e-07 5.710e-07 5.241e-07 1.867e-08
      32 5.910e-07 7.010e-07 6.365e-07 3.019e-08
      40 7.320e-07 8.210e-07 7.739e-07 2.306e-08
      50 9.110e-07 1.012e-06 9.583e-07 2.856e-08
      63 1.153e-06 1.383e-06 1.260e-06 5.552e-08
      79 1.513e-06 1.693e-06 1.598e-06 4.433e-08
     100 1.984e-06 2.164e-06 2.065e-06 4.497e-08
     126 2.585e-06 2.805e-06 2.694e-06 5.499e-08
     158 3.396e-06 3.656e-06 3.517e-06 6.905e-08
     200 4.488e-06 4.789e-06 4.639e-06 7.930e-08
     251 5.881e-06 6.272e-06 6.071e-06 1.048e-07
     316 7.754e-06 8.185e-06 7.955e-06 1.215e-07
     398 1.009e-05 1.071e-05 1.043e-05 1.655e-07
     501 1.328e-05 1.419e-05 1.367e-05 2.119e-07
     631 1.741e-05 1.823e-05 1.784e-05 2.008e-07
     794 2.275e-05 2.404e-05 2.344e-05 2.909e-07
    1000 2.999e-05 3.128e-05 3.055e-05 3.490e-07
    1259 3.900e-05 4.080e-05 3.991e-05 4.775e-07
    1585 5.112e-05 5.356e-05 5.230e-05 6.380e-07
    1995 6.674e-05 6.962e-05 6.814e-05 7.458e-07
    2512 8.696e-05 9.100e-05 8.869e-05 7.819e-07
    3162 1.130e-04 1.188e-04 1.155e-04 1.472e-06
    3981 1.469e-04 1.536e-04 1.501e-04 1.496e-06
    5012 1.906e-04 1.977e-04 1.941e-04 1.928e-06
    6310 2.478e-04 2.592e-04 2.529e-04 2.700e-06
    7943 3.202e-04 3.337e-04 3.259e-04 3.405e-06
   10000 4.157e-04 4.499e-04 4.258e-04 7.514e-06
#------- --------- --------- --------- ---------


