# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.900e-07 3.010e-07 2.969e-07 4.804e-09
      13 3.200e-07 3.410e-07 3.238e-07 5.029e-09
      16 3.500e-07 3.610e-07 3.552e-07 4.947e-09
      20 3.910e-07 4.210e-07 4.036e-07 7.138e-09
      25 4.710e-07 5.010e-07 4.849e-07 9.547e-09
      32 6.010e-07 7.510e-07 6.342e-07 2.857e-08
      40 8.010e-07 8.820e-07 8.384e-07 2.079e-08
      50 1.152e-06 1.243e-06 1.195e-06 2.360e-08
      63 1.723e-06 1.893e-06 1.808e-06 4.374e-08
      79 2.675e-06 2.936e-06 2.786e-06 6.880e-08
     100 4.258e-06 4.669e-06 4.448e-06 1.084e-07
     126 6.562e-06 7.294e-06 6.933e-06 1.788e-07
     158 1.044e-05 1.152e-05 1.095e-05 2.907e-07
     200 1.662e-05 1.828e-05 1.745e-05 4.014e-07
     251 2.654e-05 2.900e-05 2.766e-05 5.807e-07
     316 4.233e-05 4.544e-05 4.387e-05 7.888e-07
     398 6.819e-05 7.269e-05 7.038e-05 1.090e-06
     501 1.082e-04 1.143e-04 1.109e-04 1.489e-06
     631 1.722e-04 1.824e-04 1.772e-04 2.520e-06
     794 2.749e-04 2.877e-04 2.807e-04 2.955e-06
    1000 4.380e-04 4.630e-04 4.476e-04 6.279e-06
    1259 6.963e-04 7.267e-04 7.100e-04 8.097e-06
    1585 1.108e-03 1.149e-03 1.126e-03 1.047e-05
    1995 1.761e-03 1.827e-03 1.793e-03 1.799e-05
    2512 2.802e-03 2.888e-03 2.838e-03 2.122e-05
    3162 4.455e-03 4.584e-03 4.515e-03 3.441e-05
    3981 7.049e-03 7.234e-03 7.130e-03 3.795e-05
    5012 1.121e-02 1.148e-02 1.132e-02 6.759e-05
    6310 1.784e-02 1.825e-02 1.802e-02 1.062e-04
    7943 2.835e-02 2.880e-02 2.856e-02 1.179e-04
   10000 4.475e-02 4.548e-02 4.509e-02 1.852e-04
#------- --------- --------- --------- ---------


