# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.500e-07 4.810e-07 3.910e-07 3.910e-08
      13 4.310e-07 4.910e-07 4.655e-07 1.510e-08
      16 5.210e-07 5.820e-07 5.478e-07 1.923e-08
      20 6.610e-07 7.320e-07 6.931e-07 2.188e-08
      25 8.920e-07 9.720e-07 9.240e-07 2.187e-08
      32 1.312e-06 1.372e-06 1.329e-06 1.647e-08
      40 1.903e-06 1.983e-06 1.924e-06 1.597e-08
      50 2.835e-06 2.955e-06 2.856e-06 1.366e-08
      63 4.358e-06 4.438e-06 4.378e-06 1.365e-08
      79 6.712e-06 6.743e-06 6.725e-06 8.337e-09
     100 1.060e-05 1.065e-05 1.062e-05 1.106e-08
     126 1.655e-05 1.673e-05 1.670e-05 2.275e-08
     158 2.571e-05 2.617e-05 2.610e-05 8.371e-08
     200 4.099e-05 4.173e-05 4.163e-05 1.702e-07
     251 6.424e-05 6.557e-05 6.533e-05 3.529e-07
     316 1.018e-04 1.041e-04 1.032e-04 6.101e-07
     398 1.617e-04 1.645e-04 1.634e-04 7.410e-07
     501 2.561e-04 2.622e-04 2.581e-04 1.198e-06
     631 4.053e-04 4.108e-04 4.081e-04 1.320e-06
     794 6.427e-04 6.486e-04 6.452e-04 1.662e-06
    1000 1.022e-03 1.028e-03 1.024e-03 1.835e-06
    1259 1.623e-03 1.633e-03 1.626e-03 2.364e-06
    1585 2.577e-03 2.606e-03 2.584e-03 5.937e-06
    1995 4.090e-03 4.111e-03 4.097e-03 4.306e-06
    2512 6.497e-03 6.511e-03 6.504e-03 3.639e-06
    3162 1.031e-02 1.033e-02 1.032e-02 4.484e-06
    3981 1.637e-02 1.641e-02 1.638e-02 1.092e-05
    5012 2.596e-02 2.610e-02 2.599e-02 3.106e-05
