# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.110e-07 5.010e-07 4.495e-07 2.090e-08
      13 5.110e-07 6.320e-07 5.765e-07 3.184e-08
      16 6.610e-07 8.910e-07 7.549e-07 4.958e-08
      20 8.720e-07 1.142e-06 1.022e-06 6.696e-08
      25 1.282e-06 1.613e-06 1.438e-06 8.598e-08
      32 1.993e-06 2.384e-06 2.206e-06 1.006e-07
      40 2.945e-06 3.716e-06 3.316e-06 1.970e-07
      50 4.498e-06 5.370e-06 4.924e-06 2.270e-07
      63 6.802e-06 8.066e-06 7.482e-06 3.315e-07
      79 1.040e-05 1.202e-05 1.130e-05 4.570e-07
     100 1.625e-05 1.866e-05 1.749e-05 6.426e-07
     126 2.506e-05 2.884e-05 2.699e-05 9.160e-07
     158 3.818e-05 4.368e-05 4.108e-05 1.412e-06
     200 5.946e-05 6.713e-05 6.373e-05 1.906e-06
     251 9.285e-05 1.012e-04 9.739e-05 2.103e-06
     316 1.439e-04 1.567e-04 1.497e-04 3.230e-06
     398 2.214e-04 2.387e-04 2.298e-04 4.425e-06
     501 3.484e-04 3.725e-04 3.587e-04 5.778e-06
     631 5.368e-04 5.708e-04 5.542e-04 9.148e-06
     794 8.422e-04 8.879e-04 8.626e-04 1.145e-05
    1000 1.317e-03 1.382e-03 1.350e-03 1.584e-05
    1259 2.064e-03 2.151e-03 2.108e-03 2.554e-05
    1585 3.253e-03 3.379e-03 3.315e-03 3.121e-05
    1995 5.101e-03 5.298e-03 5.201e-03 4.813e-05
    2512 8.103e-03 8.335e-03 8.222e-03 6.240e-05
    3162 1.284e-02 1.324e-02 1.304e-02 1.039e-04
    3981 2.082e-02 2.281e-01 5.710e-02 3.435e-02
