# tree_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.910e-07 4.610e-07 4.252e-07 1.872e-08
      13 4.510e-07 5.510e-07 4.917e-07 2.307e-08
      16 5.210e-07 6.210e-07 5.678e-07 2.683e-08
      20 6.310e-07 7.420e-07 6.806e-07 2.664e-08
      25 7.520e-07 9.120e-07 8.178e-07 3.742e-08
      32 9.520e-07 1.132e-06 1.035e-06 4.579e-08
      40 1.193e-06 1.383e-06 1.280e-06 4.598e-08
      50 1.493e-06 1.853e-06 1.659e-06 8.774e-08
      63 1.943e-06 2.234e-06 2.070e-06 7.930e-08
      79 2.444e-06 2.816e-06 2.592e-06 9.790e-08
     100 3.126e-06 3.517e-06 3.327e-06 9.462e-08
     126 4.068e-06 4.479e-06 4.258e-06 1.020e-07
     158 5.220e-06 5.861e-06 5.496e-06 1.640e-07
     200 6.653e-06 7.544e-06 7.056e-06 1.927e-07
     251 8.697e-06 9.548e-06 9.038e-06 1.827e-07
     316 1.118e-05 1.254e-05 1.161e-05 2.449e-07
     398 1.442e-05 1.559e-05 1.493e-05 2.938e-07
     501 1.875e-05 2.000e-05 1.937e-05 3.125e-07
     631 2.431e-05 2.622e-05 2.511e-05 4.889e-07
     794 3.144e-05 3.388e-05 3.242e-05 5.764e-07
    1000 4.107e-05 4.430e-05 4.228e-05 7.946e-07
    1259 5.363e-05 5.669e-05 5.476e-05 7.556e-07
    1585 6.963e-05 8.040e-05 7.191e-05 2.160e-06
    1995 9.125e-05 1.017e-04 9.369e-05 2.151e-06
    2512 1.200e-04 1.394e-04 1.243e-04 3.783e-06
    3162 1.576e-04 1.888e-04 1.631e-04 5.800e-06
    3981 2.073e-04 2.187e-04 2.111e-04 2.566e-06
    5012 2.729e-04 3.065e-04 2.793e-04 5.256e-06
    6310 3.586e-04 4.207e-04 3.716e-04 1.459e-05
    7943 4.735e-04 5.155e-04 4.827e-04 8.382e-06
   10000 6.180e-04 6.588e-04 6.322e-04 7.928e-06
#------- --------- --------- --------- ---------


